Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
d3906649-3a95-4c6b-a800-a39b094756a6.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
argetoma--gggasdsadf.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
www.onlline-pocztovvy.xyz,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
6e74ecb9-89ac-4bf4-9b4b-52b03447a652.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
fmj1o8479--hvbr829r0w.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
1d2b24c7-7fc9-4101-8a9d-37146b3b6664.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
479b7c22-430f-4df4-b49c-4d038d0c8fc0.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
53489734--6889879.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
e6dd173f-76f2-45d8-ba87-25037ac01a1c.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
consultanttowars--0102000.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
e87927b3-9dcf-48c8-93fa-0199d59c4753.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
totalunsightlymotion--bruckerfet.repl.co,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
54d62780-8232-496c-869a-e6cd16f78f55.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
980768--90867.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
bf471555-187b-4123-be7a-d9bbc6dd9794.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
0fbda97e-8dd4-4543-a1c0-880c302510ae.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
vinted-pl-gj32d.tietao.top,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
23050--servece.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
204d30cc-d228-4bf8-be98-1e31611e7100.id.repl.co...,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
vinted-pl-gj32d.harrylu.top,0,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1
66ry32--66534.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
galicia3413--ef1426.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
vinted-pl-gj32d.erori.xyz,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
navymicrokernel.0102030.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
or417r.ofejqh9184.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
finewoeful.01020301.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
hbgali823.home88939823.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
interconec.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
servicios.galiciahdf.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
